id;name;phone;address;paid_for
1;Checking Account;"+6 5002025254";Lesotho Codes specifically reserved for testing purposes Movies;true
2;Ghana;"+9-2166901891";Montana Texas open-source;true
3;Response;"0013661277";architect payment;true
4;rich infrastructures hack;"1886215762";multi-byte;false
5;Florida black;"+7855168622719";Ergonomic Cambridgeshire;false
6;Handmade;"+993-9645809083";green Garden invoice;true
7;Berkshire protocol;"6318197577";optical;true
8;system;"5651434608";Fantastic applications;false
9;generating Generic Metal Chicken;"+598396104259";GB;false
10;Intelligent Rubber Bike Small;"+233621408520";intermediate Knoll;false
